"-- none","-- none"
"Actions","Actions"
"Attribute","Attribute"
"By default prices are shown incl. Tax so only change this option if necessary.<br>If the feed export is without tax it's possible to add it with this option.<br>","By default prices are shown incl. Tax so only change this option if necessary.<br>If the feed export is without tax it's possible to add it with this option.<br>"
"Cron","Cron"
"Data: Brand","Data: Brand"
"Data: Category","Data: Category"
"Data: Condition","Data: Condition"
"Data: Description","Data: Description"
"Data: GTIN","Data: GTIN"
"Data: MPN","Data: MPN"
"Default Category","Default Category"
"Default Condition","Default Condition"
"Description Attribute","Description Attribute"
"Each store view will have their own Google Shopping feed, you can easily activate or de-activate the Google Shopping feed generation on store level or automatically generate the Google Shopping feed. In case your not using the cron job functionality it's possible to generate the Google Shopping feed manually.","Each store view will have their own Google Shopping feed, you can easily activate or de-activate the Google Shopping feed generation on store level or automatically generate the Google Shopping feed. In case your not using the cron job functionality it's possible to generate the Google Shopping feed manually."
"Enabled","Enabled"
"Every product","Every product"
"Exclude products with this visibility","Exclude the products with this visibility"
"Extra Fields","Extra velden"
"Exclude Products","Exclude Products"
"Exclude Products on Status","Exclude Products on Status"
"Exclude Products on Visibility","Exclude Products on Visibility"
"Exclude Products on Stock level","Exclude Products on Stock level"
"Exclude out of stock products","Exclude out of stock products"
"Exclude products with this status","Exclude products with this status"
"Exclude products with this visibility","Exclude products with this visibility"
"Exclude for Google Shopping","Exclude for Google Shopping"
"Extention needs to be enabled to use this function","Extension needs to be enabled to use this function"
"Feed Generation","Feed Generation"
"File writing not succeeded","File writing not succeeded"
"Filename","Filename"
"Field Name","Field Name"
"Filter by Category","Filter by Category"
"Force Tax Usage","Force Tax Usage"
"Frequency","Frequency"
"Generate","Generate"
"Generated","Generated"
"Generated Feeds","Generated Feeds"
"Generate Manual","Generate Manual"
"Google Shopping - Advanced Options","Google Shopping - Advanced Options"
"Google Shopping","Google Shopping"
"Google Shopping - Data","Google Shopping - Data"
"Google Shopping - Filter Conditions","Google Shopping - Filter Conditions"
"Google Shopping - Generation Settings","Google Shopping - Generation Settings"
"Limit","Limit"
"If you want to submit more fields to your Google Shopping Feed you can fill in the data here.",If you want to submit more fields to your Google Shopping Feed you can fill in the data here."
"Include Weight Field","Include Weight Field"
"Include by Category","Include by Category"
"Include products with this visibility","Include products with this visibility"
"Licence","Licence"
"License Key","License Key"
"Make sure you <strong><u>save the configuration first</u></strong> before generating a feed!</strong>","Make sure you <strong><u>save the configuration first</u></strong> before generating a feed!</strong>"
"Manually Add Tax","Manually Add Tax"
"Magmodules","Magmodules"
"New","New"
